source,target
<ATTRS> โซ ฟี มิได้ เลยผื่น ขึ้น <CONT_START> เราใช้ก้น😭 <START>,<ATTRS> โซ ฟี มิได้ เลยผื่น ขึ้น <CONT_START> เราใช้ก้น😭 <START> เราใช้โซฟีมิได้เลยผื่นขึ้นก้น😭
<ATTRS> แพ้ <CONT_START> เราลอรีเอะโทเดสีโซฟีบางรุ่น <START>,<ATTRS> แพ้ <CONT_START> เราลอรีเอะโทเดสีโซฟีบางรุ่น <START> เราแพ้ลอรีเอะโทเดสีโซฟีแพ้บางรุ่น
<ATTRS> โรงแรม ไม่ ความพร้อม <CONT_START> ในการรับลูกค้า <START>,<ATTRS> โรงแรม ไม่ ความพร้อม <CONT_START> ในการรับลูกค้า <START> โรงแรมไม่ความพร้อมในการรับลูกค้า
<ATTRS>  <CONT_START> ลองผ้าอนามัยแบบสอดละบอกได้คำเดียว <START>,<ATTRS>  <CONT_START> ลองผ้าอนามัยแบบสอดละบอกได้คำเดียว <START> ลองผ้าอนามัยแบบสอดละบอกได้คำเดียว
<ATTRS> ไม่ค่อย <CONT_START> ลองละรสชาติเหมือน285เลยอะ <START>,<ATTRS> ไม่ค่อย <CONT_START> ลองละรสชาติเหมือน285เลยอะ <START> ลองละไม่ค่อยรสชาติเหมือน285เลยอะ
<ATTRS> อะไร มิได้ เลย <CONT_START> แล้วตอนนี้มึงก็แดกอ้อ <START>,<ATTRS> อะไร มิได้ เลย <CONT_START> แล้วตอนนี้มึงก็แดกอ้อ <START> แล้วตอนนี้มึงก็แดกอะไรมิได้เลยอ้อ
<ATTRS>  <CONT_START> โลตัสสาขาพนมสารคามยังไม่เลยคับ <START>,<ATTRS>  <CONT_START> โลตัสสาขาพนมสารคามยังไม่เลยคับ <START> โลตัสสาขาพนมสารคามยังไม่เลยคับ
<ATTRS>  <CONT_START> สปายาเนี่ยนะเมาเอ็นดูว่ะ5 <START>,<ATTRS>  <CONT_START> สปายาเนี่ยนะเมาเอ็นดูว่ะ5 <START> สปายาเนี่ยนะเมาเอ็นดูว่ะ5
<ATTRS> เหี้ย <CONT_START> สีเมออฟอีเลคทริคบลูรสชาติมาก <START>,<ATTRS> เหี้ย <CONT_START> สีเมออฟอีเลคทริคบลูรสชาติมาก <START> สีเมออฟอีเลคทริคบลูรสชาติเหี้ยมาก
<ATTRS>  <CONT_START> สั่งชุดหมูเฮฮาไปพนักลงงานบอกไม่ <START>,<ATTRS>  <CONT_START> สั่งชุดหมูเฮฮาไปพนักลงงานบอกไม่ <START> สั่งชุดหมูเฮฮาไปพนักลงงานบอกไม่
<ATTRS> สัส <CONT_START> ซัค!!พี่ใช้ของอินนิสีฟรีอยู่ล่ะ <START>,<ATTRS> สัส <CONT_START> ซัค!!พี่ใช้ของอินนิสีฟรีอยู่ล่ะ <START> สัสซัค!!พี่ใช้ของอินนิสีฟรีอยู่ล่ะ
<ATTRS> ▁เสียดายสาขา ที่ เพชรบุรี ปิด <CONT_START> มากไปแล้ว <START>,<ATTRS> ▁เสียดายสาขา ที่ เพชรบุรี ปิด <CONT_START> มากไปแล้ว <START> เสียดายมากสาขาที่เพชรบุรีปิดไปแล้ว
<ATTRS> ห้องน้ํา สะอาด แต่ ชักไม่ค่อย <CONT_START> ห้องน้ำสะอาดแต่ชักโครกสะอาด <START>,<ATTRS> ห้องน้ํา สะอาด แต่ ชักไม่ค่อย <CONT_START> ห้องน้ำสะอาดแต่ชักโครกสะอาด <START> ห้องน้ำสะอาดแต่ชักโครกไม่ค่อยสะอาด
<ATTRS> เสียดาย <CONT_START> หู้ยยยเพิ่งกระผมแชมพู5 <START>,<ATTRS> เสียดาย <CONT_START> หู้ยยยเพิ่งกระผมแชมพู5 <START> หู้ยยยเพิ่งกระผมเสียดายแชมพู5
<ATTRS> จะอ้วก <CONT_START> เห็นรูปหมูบาบีก้อนแล้วขนลุก <START>,<ATTRS> จะอ้วก <CONT_START> เห็นรูปหมูบาบีก้อนแล้วขนลุก <START> เห็นรูปหมูบาบีก้อนแล้วขนลุกจะอ้วก
<ATTRS> แพงเกิน <CONT_START> อินนิสีฟรีเบอร์ยากไร้ไปแล้ว <START>,<ATTRS> แพงเกิน <CONT_START> อินนิสีฟรีเบอร์ยากไร้ไปแล้ว <START> อินนิสีฟรีแพงเกินเบอร์ยากไร้ไปแล้ว
<ATTRS> โร เช่ สองพัน ทรุด <CONT_START> อินิสีฟรีพันห้าอีฟ <START>,<ATTRS> โร เช่ สองพัน ทรุด <CONT_START> อินิสีฟรีพันห้าอีฟ <START> อินิสีฟรีพันห้าอีฟโรเช่สองพันทรุด
<ATTRS> อีสัสเข็ด <CONT_START> ยังไม่กับแสงสีอีก <START>,<ATTRS> อีสัสเข็ด <CONT_START> ยังไม่กับแสงสีอีก <START> อีสัสยังไม่เข็ดกับแสงสีอีก
<ATTRS> ไม่ถูก กับ <CONT_START> โอ้ยนี่โคตรมีเดียเลยนุ้ง <START>,<ATTRS> ไม่ถูก กับ <CONT_START> โอ้ยนี่โคตรมีเดียเลยนุ้ง <START> โอ้ยนี่โคตรไม่ถูกกับมีเดียเลยนุ้ง
<ATTRS>  <CONT_START> 5มิได้มื้อล่าสุดห้าพัน <START>,<ATTRS>  <CONT_START> 5มิได้มื้อล่าสุดห้าพัน <START> 5มิได้มื้อล่าสุดห้าพัน
<ATTRS> เหม็น อ่ะแพง <CONT_START> biothermแต่มันยอม5 <START>,<ATTRS> เหม็น อ่ะแพง <CONT_START> biothermแต่มันยอม5 <START> biothermเหม็นอ่ะแต่มันแพงยอม5
<ATTRS> พัง <CONT_START> hoegaardenในbreezerในsnowyคือจริง <START>,<ATTRS> พัง <CONT_START> hoegaardenในbreezerในsnowyคือจริง <START> hoegaardenในbreezerในsnowyคือพังจริง
<ATTRS> e tu de ก็หาย <CONT_START> periperaก็หายหายไปไหน!!! <START>,<ATTRS> e tu de ก็หาย <CONT_START> periperaก็หายหายไปไหน!!! <START> periperaก็หายetudeก็หายหายไปไหน!!!
<ATTRS>  <CONT_START> showในนี่ยังไม่เปิดจริงจังไปอีกหรอ <START>,<ATTRS>  <CONT_START> showในนี่ยังไม่เปิดจริงจังไปอีกหรอ <START> showในนี่ยังไม่เปิดจริงจังไปอีกหรอ
<ATTRS> เสียง <CONT_START> toyotaaltisติดตั้งชุดเครื่อง <START>,<ATTRS> เสียง <CONT_START> toyotaaltisติดตั้งชุดเครื่อง <START> toyotaaltisติดตั้งชุดเครื่องเสียง
<ATTRS> ขาดทุน <CONT_START> กระทรวงยาสูบมันต่อต้านมันกลัว <START>,<ATTRS> ขาดทุน <CONT_START> กระทรวงยาสูบมันต่อต้านมันกลัว <START> กระทรวงยาสูบมันต่อต้านมันกลัวขาดทุน
<ATTRS> กฎหมาย หัวควย <CONT_START> กระทืบไลค์เลยครับ👎 <START>,<ATTRS> กฎหมาย หัวควย <CONT_START> กระทืบไลค์เลยครับ👎 <START> กระทืบไลค์เลยครับกฎหมายหัวควย👎
<ATTRS> เสียใจ <CONT_START> ก้อนเลือกตอบในจากลูกค้าประจำ <START>,<ATTRS> เสียใจ <CONT_START> ก้อนเลือกตอบในจากลูกค้าประจำ <START> ก้อนเลือกตอบเสียใจในจากลูกค้าประจำ
<ATTRS> กาว ผ้าอนามัย ควร เหนียว <CONT_START> กว่านี้ด้วยค่ะ <START>,<ATTRS> กาว ผ้าอนามัย ควร เหนียว <CONT_START> กว่านี้ด้วยค่ะ <START> กาวผ้าอนามัยควรเหนียวกว่านี้ด้วยค่ะ
<ATTRS>  <CONT_START> กินแค่ฟูลงมูนขวดเดียวก็มึนแล้วเอิ่ม <START>,<ATTRS>  <CONT_START> กินแค่ฟูลงมูนขวดเดียวก็มึนแล้วเอิ่ม <START> กินแค่ฟูลงมูนขวดเดียวก็มึนแล้วเอิ่ม
<ATTRS>  <CONT_START> กูอยากขว้างtarteกับจูเลียทิ้งเลย <START>,<ATTRS>  <CONT_START> กูอยากขว้างtarteกับจูเลียทิ้งเลย <START> กูอยากขว้างtarteกับจูเลียทิ้งเลย
<ATTRS> บายหมดเกือบ 500 😢 <CONT_START> ขอพลาซ่าไป <START>,<ATTRS> บายหมดเกือบ 500 😢 <CONT_START> ขอพลาซ่าไป <START> ขอบายหมดพลาซ่าไปเกือบ500😢
<ATTRS> หัวร้อน <CONT_START> คุณลุงคนขับแท็กซี่ทำฉันใน <START>,<ATTRS> หัวร้อน <CONT_START> คุณลุงคนขับแท็กซี่ทำฉันใน <START> คุณลุงคนขับแท็กซี่ทำฉันหัวร้อนใน
<ATTRS> เงื่อนไข เยอะมาก <CONT_START> แค่แถมเป๊ปซี่เบย55 <START>,<ATTRS> เงื่อนไข เยอะมาก <CONT_START> แค่แถมเป๊ปซี่เบย55 <START> แค่แถมเป๊ปซี่เงื่อนไขเยอะมากเบย55
<ATTRS> ▁แค่ บุหรี่ ไฟฟ้าผิดกฎหมายส้นตีน <CONT_START> ก็มาก <START>,<ATTRS> ▁แค่ บุหรี่ ไฟฟ้าผิดกฎหมายส้นตีน <CONT_START> ก็มาก <START> แค่บุหรี่ไฟฟ้าก็ผิดกฎหมายส้นตีนมาก
<ATTRS> ลพบุรี ไม่ ร่วมรายการเสียดาย <CONT_START> จ.จัง <START>,<ATTRS> ลพบุรี ไม่ ร่วมรายการเสียดาย <CONT_START> จ.จัง <START> จ.ลพบุรีไม่ร่วมรายการเสียดายจัง
<ATTRS> ก็ไม่ กิน <CONT_START> จะน้ำจะเบียร์ของสิงห์อยู่ละ <START>,<ATTRS> ก็ไม่ กิน <CONT_START> จะน้ำจะเบียร์ของสิงห์อยู่ละ <START> จะน้ำจะเบียร์ก็ไม่กินของสิงห์อยู่ละ
<ATTRS> ฟี ค่ะ จะ เหนียว <CONT_START> โซกว่าลอรีเอ๊ะนิสีนึง <START>,<ATTRS> ฟี ค่ะ จะ เหนียว <CONT_START> โซกว่าลอรีเอ๊ะนิสีนึง <START> โซฟีค่ะจะเหนียวกว่าลอรีเอ๊ะนิสีนึง
<ATTRS> เสือก <CONT_START> แดกsmirnoffหวังเมาไม่เมา😡 <START>,<ATTRS> เสือก <CONT_START> แดกsmirnoffหวังเมาไม่เมา😡 <START> แดกsmirnoffหวังเมาเสือกไม่เมา😡
<ATTRS>  <CONT_START> โดนผีสิงห์น.ลุกมะไหวเลยยยในsingha <START>,<ATTRS>  <CONT_START> โดนผีสิงห์น.ลุกมะไหวเลยยยในsingha <START> โดนผีสิงห์น.ลุกมะไหวเลยยยในsingha
<ATTRS> เชียงใหม่ ถึงไม่ เอ็ม <CONT_START> ทำไมเคบุฟเฟ่ต์ <START>,<ATTRS> เชียงใหม่ ถึงไม่ เอ็ม <CONT_START> ทำไมเคบุฟเฟ่ต์ <START> ทำไมเชียงใหม่ถึงไม่เอ็มเคบุฟเฟ่ต์
<ATTRS> ▁ทําไมไม่เถื่อน <CONT_START> ทำไมไม่ไปเล่นพวกซื้อขายบุหรี่ <START>,<ATTRS> ▁ทําไมไม่เถื่อน <CONT_START> ทำไมไม่ไปเล่นพวกซื้อขายบุหรี่ <START> ทำไมไม่ไปเล่นพวกซื้อขายบุหรี่เถื่อน
<ATTRS> อีดอก <CONT_START> นั่งดูโจมาโลน555โดนป้าย555 <START>,<ATTRS> อีดอก <CONT_START> นั่งดูโจมาโลน555โดนป้าย555 <START> นั่งดูโจมาโลน555อีดอกโดนป้าย555
<ATTRS> ▁น่า ตบ <CONT_START> ให้คว่ำในค่าบาร์บีก้อน5 <START>,<ATTRS> ▁น่า ตบ <CONT_START> ให้คว่ำในค่าบาร์บีก้อน5 <START> น่าตบให้คว่ำในค่าบาร์บีก้อน5
<ATTRS> ถึง 29 ธันวาคม 😭 <CONT_START> น้ำตาจิไหลพึ่งเห้นคำว่า <START>,<ATTRS> ถึง 29 ธันวาคม 😭 <CONT_START> น้ำตาจิไหลพึ่งเห้นคำว่า <START> น้ำตาจิไหลพึ่งเห้นคำว่าถึง29ธันวาคม😭
<ATTRS> ส่งผล จ่ายภาษี ลด <CONT_START> เบียร์ช้างหั่นดีกรี <START>,<ATTRS> ส่งผล จ่ายภาษี ลด <CONT_START> เบียร์ช้างหั่นดีกรี <START> เบียร์ช้างหั่นดีกรีส่งผลจ่ายภาษีลด
<ATTRS> ▁เบื่อ <CONT_START> แล้วaltisอยากขับcityสีขาววว <START>,<ATTRS> ▁เบื่อ <CONT_START> แล้วaltisอยากขับcityสีขาววว <START> เบื่อแล้วaltisอยากขับcityสีขาววว
<ATTRS>  <CONT_START> ปาหนังสือแลไปปรสิตใส่หน้าบาบีก้อนแปบ <START>,<ATTRS>  <CONT_START> ปาหนังสือแลไปปรสิตใส่หน้าบาบีก้อนแปบ <START> ปาหนังสือแลไปปรสิตใส่หน้าบาบีก้อนแปบ
<ATTRS> เปลี่ยนจาก เอ็ม เค มากิน <CONT_START> นี่กว่าเยอะ <START>,<ATTRS> เปลี่ยนจาก เอ็ม เค มากิน <CONT_START> นี่กว่าเยอะ <START> เปลี่ยนจากเอ็มเคมากินนี่กว่าเยอะ
<ATTRS> วันนี้ ไม่ เหน พนักงาน <CONT_START> ไปว่ายังงั้นเลยคะ <START>,<ATTRS> วันนี้ ไม่ เหน พนักงาน <CONT_START> ไปว่ายังงั้นเลยคะ <START> ไปวันนี้ไม่เหนพนักงานว่ายังงั้นเลยคะ
<ATTRS> ใช้ไม่ได้ <CONT_START> เพราะบ้านเรามันยะลาครับเลย <START>,<ATTRS> ใช้ไม่ได้ <CONT_START> เพราะบ้านเรามันยะลาครับเลย <START> เพราะบ้านเรามันยะลาครับเลยใช้ไม่ได้
<ATTRS>  <CONT_START> มึงจะให้คนงานไปแดกอย่างเดียวใช่ไหม <START>,<ATTRS>  <CONT_START> มึงจะให้คนงานไปแดกอย่างเดียวใช่ไหม <START> มึงจะให้คนงานไปแดกอย่างเดียวใช่ไหม
<ATTRS> ปวดท้อง <CONT_START> ไม่ว่าแดกสีเมออฟเลยอีกจได้ <START>,<ATTRS> ปวดท้อง <CONT_START> ไม่ว่าแดกสีเมออฟเลยอีกจได้ <START> ไม่ว่าแดกสีเมออฟเลยปวดท้องอีกจได้
<ATTRS>  <CONT_START> ไม่แปลกใจเลยถ้าเห็นสัปเหร่อกินแบล็ค <START>,<ATTRS>  <CONT_START> ไม่แปลกใจเลยถ้าเห็นสัปเหร่อกินแบล็ค <START> ไม่แปลกใจเลยถ้าเห็นสัปเหร่อกินแบล็ค
<ATTRS> ยืนรอ นานมาก <CONT_START> ไม่คนมารับมาให้คิวเลย <START>,<ATTRS> ยืนรอ นานมาก <CONT_START> ไม่คนมารับมาให้คิวเลย <START> ยืนรอนานมากไม่คนมารับมาให้คิวเลย
<ATTRS> จืด <CONT_START> ลองแล้วใช้เบียร์ช้างอร่อยค่ะลีโอ <START>,<ATTRS> จืด <CONT_START> ลองแล้วใช้เบียร์ช้างอร่อยค่ะลีโอ <START> ลองแล้วใช้เบียร์ช้างอร่อยค่ะลีโอจืด
<ATTRS>  <CONT_START> ส่วนตัวไฮเนเก้นถูกปากกว่าฮูการในเด้ใน <START>,<ATTRS>  <CONT_START> ส่วนตัวไฮเนเก้นถูกปากกว่าฮูการในเด้ใน <START> ส่วนตัวไฮเนเก้นถูกปากกว่าฮูการในเด้ใน
<ATTRS>  <CONT_START> สะพานไม่นับรวมข้างขึ้นลงงงบักคัก😢 <START>,<ATTRS>  <CONT_START> สะพานไม่นับรวมข้างขึ้นลงงงบักคัก😢 <START> สะพานไม่นับรวมข้างขึ้นลงงงบักคัก😢
<ATTRS> สาขา บ้านเรา ก้อ ไม่ <CONT_START> เหมือนกับกุ้งอ่ะ <START>,<ATTRS> สาขา บ้านเรา ก้อ ไม่ <CONT_START> เหมือนกับกุ้งอ่ะ <START> สาขาบ้านเราก้อไม่เหมือนกับกุ้งอ่ะ
<ATTRS> กาก <CONT_START> สำหรับชั้นสุดก็บิโอเรกับมีเดีย <START>,<ATTRS> กาก <CONT_START> สำหรับชั้นสุดก็บิโอเรกับมีเดีย <START> สำหรับชั้นกากสุดก็บิโอเรกับมีเดีย
<ATTRS> ▁เสียง <CONT_START> ไม่ดังต่อลำโพงวัดไปเลยคับ555 <START>,<ATTRS> ▁เสียง <CONT_START> ไม่ดังต่อลำโพงวัดไปเลยคับ555 <START> เสียงไม่ดังต่อลำโพงวัดไปเลยคับ555
<ATTRS> หัวร้อน <CONT_START> พนักงานอีทูดี้สาขาแฟชั่นโว้ย <START>,<ATTRS> หัวร้อน <CONT_START> พนักงานอีทูดี้สาขาแฟชั่นโว้ย <START> หัวร้อนพนักงานอีทูดี้สาขาแฟชั่นโว้ย
<ATTRS> ได้ น้อยเกินแพง <CONT_START> อร่อยน่ะแต่ปริมานด้วย <START>,<ATTRS> ได้ น้อยเกินแพง <CONT_START> อร่อยน่ะแต่ปริมานด้วย <START> อร่อยน่ะแต่ปริมานได้น้อยเกินแพงด้วย
<ATTRS> ▁อหเวง <CONT_START> ในเอาน้องมาขายผ้าอนามัยอล😂 <START>,<ATTRS> ▁อหเวง <CONT_START> ในเอาน้องมาขายผ้าอนามัยอล😂 <START> อหในเอาน้องมาขายผ้าอนามัยอลเวง😂
<ATTRS> ไม่อยาก <CONT_START> อ่านคอมเม้นแล้วไปกินเลยดูสิ <START>,<ATTRS> ไม่อยาก <CONT_START> อ่านคอมเม้นแล้วไปกินเลยดูสิ <START> อ่านคอมเม้นแล้วไม่อยากไปกินเลยดูสิ
<ATTRS> แพงพอ <CONT_START> อิสระค่าผ้าอนามัยๆๆกับค่าเหล้า <START>,<ATTRS> แพงพอ <CONT_START> อิสระค่าผ้าอนามัยๆๆกับค่าเหล้า <START> อิสระค่าผ้าอนามัยแพงพอๆๆกับค่าเหล้า
<ATTRS> ▁อิ ห่าไม่คุ้ม <CONT_START> แมคเลยเคฟซีน่าแดกกว่า <START>,<ATTRS> ▁อิ ห่าไม่คุ้ม <CONT_START> แมคเลยเคฟซีน่าแดกกว่า <START> อิห่าแมคไม่คุ้มเลยเคฟซีน่าแดกกว่า
<ATTRS> อีเหี้ย <CONT_START> ผ่านetudeเปิดtwilghtอีก <START>,<ATTRS> อีเหี้ย <CONT_START> ผ่านetudeเปิดtwilghtอีก <START> อีเหี้ยผ่านetudeเปิดtwilghtอีก
<ATTRS> อีเหี้ย <CONT_START> พึ่งเคยใช้ผ้าอนามัยแบบเย็น <START>,<ATTRS> อีเหี้ย <CONT_START> พึ่งเคยใช้ผ้าอนามัยแบบเย็น <START> อีเหี้ยพึ่งเคยใช้ผ้าอนามัยแบบเย็น
<ATTRS> สัส <CONT_START> อุส่าเอาสปายามาแดกหุเลียพื้นเลย <START>,<ATTRS> สัส <CONT_START> อุส่าเอาสปายามาแดกหุเลียพื้นเลย <START> อุส่าเอาสปายามาแดกหุเลียพื้นเลยสัส
<ATTRS> คือ คนเยอะ <CONT_START> เอ็มเคเสมอต้นเสมอปลายเส้า <START>,<ATTRS> คือ คนเยอะ <CONT_START> เอ็มเคเสมอต้นเสมอปลายเส้า <START> เอ็มเคคือคนเยอะเสมอต้นเสมอปลายเส้า
<ATTRS> แดก น้ํามัน สุดๆโน <CONT_START> แพนด้าวาแดกในแดกน้ำมันสุดๆๆอิสิ <START>,<ATTRS> แดก น้ํามัน สุดๆโน <CONT_START> แพนด้าวาแดกในแดกน้ำมันสุดๆๆอิสิ <START> แพนด้าโนวาแดกในแดกน้ำมันสุดๆๆอิสิ
<ATTRS> ผิดหวัง <CONT_START> ในไม่เคยทำให้ดีไซน์รถหรูสวย <START>,<ATTRS> ผิดหวัง <CONT_START> ในไม่เคยทำให้ดีไซน์รถหรูสวย <START> ในไม่เคยทำให้ผิดหวังดีไซน์รถหรูสวย
<ATTRS> อืด <CONT_START> ในใน1.9ใช้มา30กิโลทำไมมาก <START>,<ATTRS> อืด <CONT_START> ในใน1.9ใช้มา30กิโลทำไมมาก <START> ในใน1.9ใช้มา30กิโลทำไมอืดมาก
<ATTRS> ไม่คุ้ม <CONT_START> กินบุเฟ่เอ็มเคยังไงกูก็กินอะ <START>,<ATTRS> ไม่คุ้ม <CONT_START> กินบุเฟ่เอ็มเคยังไงกูก็กินอะ <START> กินบุเฟ่เอ็มเคยังไงกูก็กินไม่คุ้มอะ
<ATTRS> ล้มเลิก แผนที่ ไปกิน <CONT_START> กุต้องบาบีก้อนระ <START>,<ATTRS> ล้มเลิก แผนที่ ไปกิน <CONT_START> กุต้องบาบีก้อนระ <START> กุต้องล้มเลิกแผนที่ไปกินบาบีก้อนระ
<ATTRS> กูจะ เกร ี้ย <CONT_START> วกราดใส่กาวผ้าอนามัยแล้วนะ <START>,<ATTRS> กูจะ เกร ี้ย <CONT_START> วกราดใส่กาวผ้าอนามัยแล้วนะ <START> กูจะเกรี้ยวกราดใส่กาวผ้าอนามัยแล้วนะ
<ATTRS> แรงมาก <CONT_START> ขายมิได้คับออสแรงจนล้อแตก <START>,<ATTRS> แรงมาก <CONT_START> ขายมิได้คับออสแรงจนล้อแตก <START> ขายมิได้คับออสแรงมากแรงจนล้อแตก
<ATTRS> ง่ายกว่า ฟอร์ด เรนเจอร์ กู <CONT_START> เข้าเกียร์อีก <START>,<ATTRS> ง่ายกว่า ฟอร์ด เรนเจอร์ กู <CONT_START> เข้าเกียร์อีก <START> เข้าเกียร์ง่ายกว่าฟอร์ดเรนเจอร์กูอีก
<ATTRS> แพงกว่า <CONT_START> ค่าเช่าชุดไปกินอีกนะออเจ้า555 <START>,<ATTRS> แพงกว่า <CONT_START> ค่าเช่าชุดไปกินอีกนะออเจ้า555 <START> ค่าเช่าชุดแพงกว่าไปกินอีกนะออเจ้า555
<ATTRS> เอา ตรง ก็ไม่ น่าเชื่อ <CONT_START> งือวันนี้อ่ะ <START>,<ATTRS> เอา ตรง ก็ไม่ น่าเชื่อ <CONT_START> งือวันนี้อ่ะ <START> งือวันนี้เอาตรงก็ไม่น่าเชื่ออ่ะ
<ATTRS> เบื่อ <CONT_START> จะขายmacchargewaterละใช้ละ <START>,<ATTRS> เบื่อ <CONT_START> จะขายmacchargewaterละใช้ละ <START> จะขายmacchargewaterละใช้เบื่อละ
<ATTRS> โจรเครื่องแบบ สมัยนี้ <CONT_START> ในน่ากลัวกว่า <START>,<ATTRS> โจรเครื่องแบบ สมัยนี้ <CONT_START> ในน่ากลัวกว่า <START> โจรในเครื่องแบบสมัยนี้น่ากลัวกว่าโจร
<ATTRS> ชอบมาก แต่ สาขาลพบุรี ไม้ เป็น <CONT_START> มีแล้วเลย <START>,<ATTRS> ชอบมาก แต่ สาขาลพบุรี ไม้ เป็น <CONT_START> มีแล้วเลย <START> ชอบมากแต่สาขาลพบุรีไม้เป็นมีแล้วเลย
<ATTRS> เชี่ยจะอ้วก <CONT_START> อ่านบาร์บิก้อนแล้วกุ🤢🤮 <START>,<ATTRS> เชี่ยจะอ้วก <CONT_START> อ่านบาร์บิก้อนแล้วกุ🤢🤮 <START> เชี่ยอ่านบาร์บิก้อนแล้วกุจะอ้วก🤢🤮
<ATTRS>  <CONT_START> ซื้อในvoucherแล้วค่ะแต่งงๆๆวิธีใช้ <START>,<ATTRS>  <CONT_START> ซื้อในvoucherแล้วค่ะแต่งงๆๆวิธีใช้ <START> ซื้อในvoucherแล้วค่ะแต่งงๆๆวิธีใช้
<ATTRS>  <CONT_START> เดี๋ยวนี้เนื้อที่hotpotอย่างเหนียว <START>,<ATTRS>  <CONT_START> เดี๋ยวนี้เนื้อที่hotpotอย่างเหนียว <START> เดี๋ยวนี้เนื้อที่hotpotอย่างเหนียว
<ATTRS> เดี๋ยวนี้ ไม้ เป็น <CONT_START> ดอยเทพเลยมัวไปหมด <START>,<ATTRS> เดี๋ยวนี้ ไม้ เป็น <CONT_START> ดอยเทพเลยมัวไปหมด <START> เดี๋ยวนี้ไม้เป็นดอยเทพเลยมัวไปหมด
<ATTRS> มั่วเกิน <CONT_START> กี้ไปซื้อลีโอยัง58อยู่จะไป <START>,<ATTRS> มั่วเกิน <CONT_START> กี้ไปซื้อลีโอยัง58อยู่จะไป <START> กี้ไปซื้อลีโอยัง58อยู่จะไปมั่วเกิน
